0,1,Apr,Aug,City,Country,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Ref.,Sep,Year
,"This article may be too long to read and navigate comfortably. Please consider splitting content into sub-articles, condensing it, or adding subheadings. (June 2017)",,,,,,,,,,,,,,,,
,,252.0,213.9,Antofagasta,Chile,310.0,291.0,319.3,204.6,207.0,294.5,229.4,276.0,260.4,?,219.0,3077.1
,,312.0,316.2,Calama,Chile,365.8,305.1,353.4,310.0,297.0,319.3,306.9,363.0,356.5,[176],321.0,3926.2
,,191.0,162.0,Concepción,Chile,331.0,278.0,341.0,129.0,114.0,255.0,133.0,296.0,254.0,?,197.0,2681.0
,,201.0,161.2,Santiago,Chile,347.2,302.3,362.7,145.7,120.0,272.8,155.0,306.0,248.0,?,186.0,2807.9
,,123.0,89.9,Valdivia,Chile,207.7,228.8,257.3,65.1,45.0,204.6,68.2,189.0,127.1,?,111.0,1716.7
,,211.0,208.0,Barranquilla,Colombia,252.0,245.0,283.0,217.0,194.0,241.0,187.0,191.0,167.0,?,166.0,2561.0
,,88.0,117.0,Bogotá,Colombia,138.0,128.0,156.0,114.0,94.0,107.0,83.0,103.0,96.0,?,109.0,1328.0
,,139.0,175.1,Cali,Colombia,170.1,155.8,183.0,189.9,153.1,166.5,147.1,153.8,151.1,[177],157.4,1941.9
,,127.9,191.6,Medellín,Colombia,156.2,149.0,175.5,203.2,173.0,154.2,138.9,136.4,132.9,[178],153.4,1892.2
,,150.0,133.3,Guayaquil,Ecuador,136.4,101.7,102.3,127.1,123.0,139.5,167.4,120.0,136.4,?,144.0,1581.1
,,136.0,256.0,Quito,Ecuador,215.0,140.0,197.0,249.0,189.0,122.0,164.0,197.0,177.0,?,196.0,2238.0
,,115.0,90.0,Stanley,Falkland Islands,198.0,161.0,198.0,69.0,57.0,169.0,77.0,200.0,189.0,?,128.0,1651.0
,,118.1,229.8,Cayenne,French Guiana,137.5,89.9,94.3,196.5,148.6,119.0,118.8,217.3,251.1,?,255.2,1976.0
,,197.9,233.7,Georgetown,Guyana,186.6,208.6,201.0,201.6,156.7,219.7,178.8,210.9,235.3,?,229.8,2460.6
,,228.0,223.0,Asunción,Paraguay,295.0,246.0,276.0,195.0,165.0,254.0,205.0,270.0,242.0,?,204.0,2803.0
,,294.0,310.0,Arequipa,Peru,291.4,189.3,223.2,291.4,291.0,244.9,288.3,309.0,303.8,?,297.0,3333.3
,,184.0,32.3,Lima,Peru,139.2,169.0,179.1,28.6,50.6,139.2,116.4,89.0,65.3,?,37.3,1230.0
,,179.6,164.4,Montevideo,Uruguay,285.3,230.6,294.9,139.7,129.7,222.8,164.2,248.9,239.0,?,182.3,2481.4
,,183.0,217.0,Caracas,Venezuela,213.9,217.5,229.4,210.8,183.0,235.6,182.9,210.0,210.8,?,213.0,2506.9
